Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Free Space 1,Free Space 2,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Free Space 3,Demand-Loadshed Difference,Free Space 4,Generation
2,400,-1,-1,6630.3,0,0,2,0,0,0,0,4847,4847,0,1783.3,0,0
3,0,-1,-1,6630.3,0,0,3,50,400,36,50,4847,4847,0,1783.3,0,0
4,0,-1,-1,6630.3,0,0,-1,50,400,29,50,4914,4914,0,1716.3,0,0
2,400,-1,-1,6630.3,0,0,2,0,0,0,0,4847,4847,0,1783.3,0,0
3,0,-1,-1,6630.3,0,0,3,50,400,31,50,4847,4847,0,1783.3,0,0
4,0,-1,-1,6630.3,0,0,-1,50,400,4,50,5030,5030,0,1600.3,0,0
2,200,-1,-1,6630.3,0,0,2,0,0,0,0,5006,5006,0,1624.3,0,0
3,0,-1,-1,6630.3,0,0,3,50,400,35,400,5006,5006,0,1624.3,0,0
4,0,-1,-1,6630.3,0,0,4,50,400,39,400,4847,4847,0,1783.3,0,0
5,0,-1,-1,6630.3,0,0,5,50,400,36,50,4900,4900,0,1730.3,0,0
6,0,-1,-1,6630.3,0,0,6,50,400,29,50,5006,5006,0,1624.3,0,0
7,0,-1,-1,6630.3,0,0,7,50,400,33,400,5183,5183,0,1447.3,0,0
8,0,-1,-1,6630.3,0,0,8,50,400,26,50,5173,5173,0,1457.3,0,0
9,0,-1,-1,6630.3,0,0,9,50,400,17,50,6185,6185,0,445.299999999999,0,0
10,0,-1,-1,6630.3,0,0,10,50,400,40,200,6185,6185,0,445.299999999999,0,0
11,0,-1,-1,6630.3,0,0,11,50,400,44,100,6185,6185,0,445.299999999999,0,0
12,0,-1,-1,6630.3,0,0,12,50,400,43,100,6185,6185,0,445.299999999999,0,0
13,0,-1,-1,6630.3,0,0,-1,50,400,7,100,6185,6185,0,445.299999999999,0,0
2,400,-1,-1,6630.3,0,0,2,0,0,0,0,4864,4864,0,1766.3,0,0
3,0,-1,-1,6630.3,0,0,3,50,400,33,400,5106,5106,0,1524.3,0,0
4,0,-1,-1,6630.3,0,0,4,50,400,26,50,4847,4847,0,1783.3,0,0
5,0,-1,-1,6630.3,0,0,5,50,400,24,100,5106,5106,0,1524.3,0,0
6,0,-1,-1,6630.3,0,0,6,50,400,9,200,4991,4991,0,1639.3,0,0
7,0,-1,-1,6630.3,0,0,7,50,400,1,200,5001,5001,0,1629.3,0,0
8,0,-1,-1,6630.3,0,0,8,50,400,6,200,5005,5005,0,1625.3,0,0
9,0,-1,-1,6630.3,0,0,-1,50,400,8,100,5492,5492,0,1138.3,0,0
2,800,-1,-1,6630.3,0,0,2,0,0,0,0,5142,5142,0,1488.3,0,0
3,0,-1,-1,6630.3,0,0,3,100,800,8,100,5178,5178,0,1452.3,0,0
