Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Free Space 1,Free Space 2,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Free Space 3,Demand-Loadshed Difference,Free Space 4,Generation
10,400,-1,-1,7972.96,0,0,2,0,0,0,0,6892,6892,0,1080.96,0,2383.59447834326
11,0,-1,-1,7972.96,0,0,3,50,400,136,50,6893,6893,0,1079.96,0,2385.26794435141
12,0,-1,-1,7972.96,0,0,4,50,400,137,100,6876,6876,0,1096.96,0,2419.6347341456
13,0,-1,-1,7972.96,0,0,5,50,400,142,50,6881,6881,0,1091.96,0,2431.54999940898
14,0,-1,-1,7972.96,0,0,6,50,400,111,50,6892,6892,0,1080.96,0,2431.54999939661
15,0,-1,-1,7972.96,0,0,7,50,400,140,50,6866,6866,0,1106.96,0,2431.07610952692
16,0,-1,-1,7972.96,0,0,8,50,400,155,100,6845,6845,0,1127.96,0,2425.45751679804
17,0,-1,-1,7972.96,0,0,9,50,400,128,50,6844,6844,0,1128.96,0,2426.70367066655
18,0,-1,-1,7972.96,0,0,10,50,400,149,50,6958,6958,0,1014.96,0,2375.17431262038
19,0,-1,-1,7972.96,0,0,11,50,400,94,200,7008,7008,0,964.960000000003,0,2414.56052720096
20,0,-1,-1,7972.96,0,0,-1,50,400,89,100,7001,7001,0,971.960000000003,0,2407.97240323101
10,200,-1,-1,7972.96,0,0,2,0,0,0,0,6765,6765,0,1207.96,0,2652.5323975998
11,0,-1,-1,7972.96,0,0,3,50,200,44,50,6783,6783,0,1189.96,0,2581.84797898309
12,0,-1,-1,7972.96,0,0,4,50,200,145,50,6783,6783,0,1189.96,0,2590.55383946191
13,0,-1,-1,7972.96,0,0,5,50,200,146,50,6783,6783,0,1189.96,0,2588.42059226649
14,0,-1,-1,7972.96,0,0,6,50,200,136,50,6783,6783,0,1189.96,0,2592.13441003208
15,0,-1,-1,7972.96,0,0,7,50,200,135,50,6783,6783,0,1189.96,0,2591.57289679139
16,0,-1,-1,7972.96,0,0,8,50,200,151,50,6736,6736,0,1236.96,0,2629.72157789654
17,0,-1,-1,7972.96,0,0,9,50,200,148,50,6783,6783,0,1189.96,0,2581.88353333436
18,0,-1,-1,7972.96,0,0,10,50,200,96,50,6768,6768,0,1204.96,0,2501.68921950749
19,0,-1,-1,7972.96,0,0,11,50,200,45,50,6797,6797,0,1175.96,0,2519.44785234022
20,0,-1,-1,7972.96,0,0,12,50,200,32,50,6797,6797,0,1175.96,0,2549.31537066614
21,0,-1,-1,7972.96,0,0,13,50,200,104,100,6830,6830,0,1142.96,0,2553.31496395675
22,0,-1,-1,7972.96,0,0,14,50,200,105,100,6854,6854,0,1118.96,0,2526.79691171533
23,0,-1,-1,7972.96,0,0,15,50,200,106,100,6898,6898,0,1074.96,0,2513.33137949589
24,0,-1,-1,7972.96,0,0,16,50,200,122,50,6926,6926,0,1046.96,0,2451.70443911833
25,0,-1,-1,7972.96,0,0,17,50,200,68,50,6935,6935,0,1037.96,0,2407.16925294574
26,0,-1,-1,7972.96,0,0,18,50,200,65,50,6933,6933,0,1039.96,0,2483.75553433231
27,0,-1,-1,7972.96,0,0,19,50,200,69,50,6924,6924,0,1048.96,0,2498.13766744987
28,0,-1,-1,7972.96,0,0,20,50,200,60,50,7091,7091,0,881.960000000003,0,2365.16557407422
29,0,-1,-1,7972.96,0,0,-1,50,200,36,200,7173,7173,0,799.960000000003,0,2212.43802659391
10,400,-1,-1,7972.96,0,0,2,0,0,0,0,6736,6736,0,1236.96,0,2746.39602501261
11,0,-1,-1,7972.96,0,0,3,50,400,136,50,6736,6736,0,1236.96,0,2746.45079475401
12,0,-1,-1,7972.96,0,0,4,50,400,137,100,6736,6736,0,1236.96,0,2737.42967967599
13,0,-1,-1,7972.96,0,0,5,50,400,128,50,6736,6736,0,1236.96,0,2741.3778959309
14,0,-1,-1,7972.96,0,0,6,50,400,151,50,6736,6736,0,1236.96,0,2719.9529228915
15,0,-1,-1,7972.96,0,0,7,50,400,148,50,6736,6736,0,1236.96,0,2744.28708936136
16,0,-1,-1,7972.96,0,0,8,50,400,138,50,6736,6736,0,1236.96,0,2744.28708941899
17,0,-1,-1,7972.96,0,0,9,50,400,139,100,6736,6736,0,1236.96,0,2674.79713758455
18,0,-1,-1,7972.96,0,0,10,50,400,142,50,6736,6736,0,1236.96,0,2782.26386661289
19,0,-1,-1,7972.96,0,0,11,50,400,127,100,6736,6736,0,1236.96,0,2683.6037456358
20,0,-1,-1,7972.96,0,0,12,50,400,140,50,6848,6848,0,1124.96,0,2568.21926597722
21,0,-1,-1,7972.96,0,0,-1,50,400,105,100,6877,6877,0,1095.96,0,2610.68921621078
10,400,-1,-1,7972.96,0,0,-1,0,0,0,0,6940,6940,0,1032.96,0,2252.31950506712
10,400,-1,-1,7972.96,0,0,2,0,0,0,0,6952,6952,0,1020.96,0,2241.33276692113
