Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation
2,50.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6203.0,6203.0,773.340000000001,2050.571834607487
2,50.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6153.0,6153.0,823.340000000001,2016.4004445886233
2,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6140.0,6140.0,836.340000000001,2064.590323569483
2,50.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6134.0,6134.0,842.340000000001,2063.5203251917874
3,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6156.0,6156.0,820.340000000001,2001.4753858510476
2,400.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6135.0,6135.0,841.340000000001,2085.078323580598
3,0.0,-1.0,-1.0,6976.340000000001,3,50.0,400.0,7,50.0,6128.0,6128.0,848.340000000001,2061.5538990149485
4,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,400.0,38,200.0,6135.0,6135.0,841.340000000001,1937.6865054377613
2,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6136.0,6136.0,840.340000000001,2045.101731059161
3,0.0,-1.0,-1.0,6976.340000000001,3,100.0,200.0,38,200.0,6160.0,6160.0,816.340000000001,2001.497505875351
4,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,43,50.0,6141.0,6141.0,835.340000000001,2012.8441757263124
5,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,33,50.0,6188.0,6188.0,788.340000000001,1936.489670945988
6,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,31,200.0,6227.0,6227.0,749.340000000001,1786.8955361071064
2,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6203.0,6203.0,773.340000000001,2053.4190592360096
2,100.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6125.0,6125.0,851.340000000001,2061.745617888563
3,0.0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,38,200.0,6148.0,6148.0,828.340000000001,2001.0388409614368
4,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,33,50.0,6132.0,6132.0,844.340000000001,1937.5935324795992
5,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,31,200.0,6155.0,6155.0,821.340000000001,1843.4412984146534
2,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,6144.0,6144.0,832.340000000001,1958.978237780455
2,50.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,6137.0,6137.0,839.340000000001,2064.4752681791633
