Total Line Failures,Steady State,Accumulation of Failed Capacities
2,-1,6203.0
2,-1,6153.0
2,-1,6140.0
2,2,6134.0
3,-1,6156.0
2,2,6135.0
3,3,6128.0
4,-1,6135.0
2,2,6136.0
3,3,6160.0
4,4,6141.0
5,5,6188.0
6,-1,6227.0
2,-1,6203.0
2,2,6125.0
3,3,6148.0
4,4,6132.0
5,-1,6155.0
2,-1,6144.0
2,2,6137.0
3,3,6166.0
4,4,6193.0
5,5,6185.0
6,6,6225.0
7,7,6220.0
8,8,6220.0
9,9,6300.0
10,10,6295.0
11,-1,6294.0
2,-1,6135.0
2,2,6137.0
3,3,6137.0
4,4,6165.0
5,5,6159.0
6,6,6195.0
7,-1,6190.0
2,-1,6137.0
2,2,6159.0
3,3,6155.0
4,-1,6140.0
2,-1,6156.0
2,-1,6217.0
2,-1,6160.0
2,-1,6169.0
2,2,6141.0
3,-1,6156.0
2,-1,6134.0
2,2,6137.0
3,-1,6165.0
2,2,6209.0
3,3,6208.0
4,-1,6209.0
2,2,6137.0
3,3,6166.0
4,4,6160.0
5,-1,6119.0
2,-1,6138.0
2,2,6144.0
3,3,6171.0
4,-1,6168.0
2,-1,6161.0
2,2,6158.0
3,3,6164.0
4,4,6162.0
5,-1,6193.0
2,2,6136.0
3,3,6167.0
4,4,6196.0
5,5,6241.0
6,-1,6229.0
2,2,6172.0
3,-1,6192.0
2,2,6154.0
3,3,6149.0
4,4,6110.0
5,5,6104.0
6,6,6120.0
7,7,6120.0
8,8,6183.0
9,-1,6183.0
2,-1,6137.0
2,2,6160.0
3,3,6167.0
4,-1,6202.0
2,-1,6094.0
2,2,6151.0
3,-1,6204.0
2,-1,6135.0
2,2,6134.0
3,3,6179.0
4,4,6159.0
5,5,6200.0
6,6,6249.0
7,7,6222.0
8,-1,6253.0
2,-1,6130.0
2,2,6098.0
3,-1,6117.0
2,2,6422.0
3,-1,6348.0
2,-1,6136.0
2,2,6117.0
3,3,6174.0
4,4,6186.0
5,5,6204.0
6,6,6197.0
7,-1,6207.0
2,-1,6140.0
2,2,6136.0
3,3,6163.0
4,-1,6195.0
2,2,6136.0
3,-1,6136.0
2,2,6121.0
3,3,6121.0
4,4,6107.0
5,5,6088.0
6,-1,6103.0
2,-1,6175.0
2,2,6113.0
3,3,6165.0
4,4,6195.0
5,5,6232.0
6,6,6227.0
7,-1,6229.0
2,2,6135.0
3,3,6179.0
4,4,6179.0
5,5,6206.0
6,-1,6126.0
2,2,6137.0
3,3,6165.0
4,4,6163.0
5,-1,6106.0
2,-1,6187.0
2,2,6145.0
3,-1,6203.0
2,-1,6145.0
2,2,6203.0
3,3,6202.0
4,4,6216.0
5,5,6206.0
6,-1,6216.0
2,2,6130.0
3,-1,6165.0
2,-1,6162.0
2,-1,6134.0
2,-1,6151.0
2,-1,6170.0
2,2,6134.0
3,3,6164.0
4,4,6156.0
5,-1,6153.0
2,2,6213.0
3,3,6224.0
4,-1,6222.0
2,2,6136.0
3,-1,6165.0
2,2,6186.0
3,3,6216.0
4,4,6217.0
5,-1,6215.0
2,2,6171.0
3,-1,6209.0
2,2,6185.0
3,3,6210.0
4,-1,6242.0
2,2,6136.0
3,3,6165.0
4,-1,6192.0
2,2,6146.0
3,3,6159.0
4,-1,6202.0
2,-1,6137.0
2,-1,6165.0
2,2,6142.0
3,3,6124.0
4,4,6123.0
5,5,6170.0
6,6,6151.0
7,-1,6179.0
2,-1,6154.0
2,-1,6136.0
2,2,6129.0
3,3,6166.0
4,-1,6161.0
2,2,6140.0
3,3,6164.0
4,4,6205.0
5,5,6202.0
6,-1,6185.0
2,-1,6111.0
2,2,6161.0
3,3,6189.0
4,4,6208.0
5,-1,6255.0
2,2,6134.0
3,3,6179.0
4,4,6206.0
5,5,6129.0
6,6,6178.0
7,7,6292.0
