index,Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Mean of T,Variance of T,Region of Failure
0,2,50,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,100.0,6203.0,100,773.340000000001,2050.571834595076,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,"[0, 2]"
1,2,50,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,100.0,6153.0,100,823.340000000001,2016.400444588579,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[5, 3]"
2,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,150.0,6140.0,150,836.340000000001,2064.5903258533494,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"[2, 2]"
3,2,50,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,100.0,6134.0,100,842.340000000001,2063.520325191738,0,0,1,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,3.0,1.0,"[4, 2]"
4,3,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,38,200.0,6156.0,300,820.340000000001,2001.475385851058,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,2.333333333333333,1.5555555555555571,"[4, 2, 1]"
5,2,400,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,450.0,6135.0,450,841.340000000001,2085.078323572214,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,2.0,1.0,"[3, 1]"
6,2,200,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,300.0,6136.0,300,840.340000000001,2045.1017310592563,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.5,2.5,6.25,"[5, 0]"
7,3,0,-1.0,-1.0,6976.340000000001,3,100.0,200.0,38,200.0,6160.0,500,816.340000000001,2001.4975058744842,1,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.9999999999999998,4.666666666666667,"[5, 0, 1]"
8,4,0,-1.0,-1.0,6976.340000000001,4,100.0,200.0,90,100.0,6159.0,600,817.340000000001,2000.1567998456899,1,1,0,1,0,1,0.25,0.25,0.0,0.25,0.0,0.25,2.25,3.6875,"[5, 0, 1, 3]"
9,5,0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,33,50.0,6178.0,650,798.340000000001,1938.6380550975048,1,2,0,1,0,1,0.2,0.4,0.0,0.2,0.0,0.2,2.0,3.2,"[5, 0, 1, 3, 1]"
10,6,0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,144,50.0,6179.0,700,797.340000000001,1941.7745799111551,1,2,0,1,0,2,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,2.5,3.916666666666666,"[5, 0, 1, 3, 1, 5]"
11,7,0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,31,200.0,6209.0,900,767.340000000001,1827.8537218732263,1,3,0,1,0,2,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.2857142857142857,2.2857142857142856,3.632653061224489,"[5, 0, 1, 3, 1, 5, 1]"
12,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,150.0,6203.0,150,773.340000000001,2053.419059236085,0,0,1,0,0,1,0.0,0.0,0.5,0.0,0.0,0.5,3.5,2.25,"[2, 5]"
13,2,100,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,150.0,6125.0,150,851.340000000001,2061.7456178835027,0,0,1,0,0,1,0.0,0.0,0.5,0.0,0.0,0.5,3.5,2.25,"[5, 2]"
14,2,400,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,500.0,6144.0,500,832.340000000001,1958.9782377803947,0,1,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0.0,2.0,1.0,"[3, 1]"
