index,Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Mean of T,Variance of T,Region of Failure
0,2,50,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,100.0,6204.0,100,772.340000000001,2049.1937405207473,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,"[0, 2]"
1,3,0,-1.0,-1.0,6976.340000000001,3,50.0,50.0,129,50.0,6205.0,150,771.340000000001,2038.1668238183784,1,0,1,0,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,2.333333333333333,4.222222222222223,"[0, 2, 5]"
2,4,0,-1.0,-1.0,6976.340000000001,-1,50.0,50.0,99,50.0,6328.0,200,648.340000000001,1974.9668440463613,1,0,2,0,0,1,0.25,0.0,0.5,0.0,0.0,0.25,2.25,3.1875,"[0, 2, 5, 2]"
3,2,50,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,100.0,6138.0,100,838.340000000001,2013.1190483357884,0,0,0,1,0,1,0.0,0.0,0.0,0.5,0.0,0.5,4.0,1.0,"[5, 3]"
4,2,100,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,150.0,6133.0,150,843.340000000001,2062.342534211099,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"[2, 2]"
5,3,0,-1.0,-1.0,6976.340000000001,3,50.0,100.0,107,50.0,6142.0,200,834.340000000001,2011.6295032420699,0,0,2,1,0,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,2.333333333333333,0.2222222222222232,"[2, 2, 3]"
6,4,0,-1.0,-1.0,6976.340000000001,4,50.0,100.0,90,100.0,6144.0,300,832.340000000001,2012.0737945581027,0,0,2,2,0,0,0.0,0.0,0.5,0.5,0.0,0.0,2.5,0.25,"[2, 2, 3, 3]"
7,5,0,-1.0,-1.0,6976.340000000001,5,50.0,100.0,110,50.0,6133.0,350,843.340000000001,1988.5323292347825,1,0,2,2,0,0,0.2,0.0,0.4,0.4,0.0,0.0,2.0,1.2000000000000002,"[2, 2, 3, 3, 0]"
8,6,0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,38,200.0,6140.0,550,836.340000000001,1953.587310610508,1,1,2,2,0,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.8333333333333333,1.1388888888888893,"[2, 2, 3, 3, 0, 1]"
9,7,0,-1.0,-1.0,6976.340000000001,7,50.0,200.0,33,50.0,6154.0,600,822.340000000001,1887.8247247467136,1,2,2,2,0,0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,1.7142857142857142,1.0612244897959182,"[2, 2, 3, 3, 0, 1, 1]"
