Total Line Failures,Steady State,Accumulation of Failed Capacities
3,-1,6154.0
3,-1,6101.0
3,-1,6119.0
3,2,6126.0
4,-1,6125.0
3,2,6153.0
4,3,6146.0
5,-1,6146.0
3,2,6151.0
4,3,6140.0
5,4,6183.0
6,5,6184.0
7,-1,6240.0
3,-1,6154.0
3,2,6113.0
4,3,6110.0
5,4,6134.0
6,-1,6132.0
3,2,6147.0
4,3,6144.0
5,4,6180.0
6,5,6184.0
7,6,6164.0
8,-1,6185.0
3,-1,6154.0
3,-1,6172.0
3,-1,6138.0
3,2,6154.0
4,3,6154.0
5,4,6153.0
6,5,6154.0
7,-1,6153.0
3,2,6162.0
4,3,6162.0
5,-1,6162.0
3,2,6122.0
4,3,6139.0
5,4,6180.0
6,5,6136.0
7,6,6160.0
8,7,6160.0
9,-1,6157.0
3,-1,6199.0
3,-1,6142.0
3,-1,6177.0
3,2,6113.0
4,3,6149.0
5,4,6115.0
6,5,6102.0
7,6,6093.0
8,7,6140.0
9,8,6137.0
10,9,6127.0
11,10,6121.0
12,11,6121.0
13,12,6127.0
14,13,6127.0
15,14,6127.0
16,15,6136.0
17,16,6085.0
18,17,6103.0
19,18,6137.0
20,19,6134.0
21,20,6144.0
22,21,6201.0
23,22,6215.0
24,23,6213.0
25,24,6225.0
26,25,6237.0
27,26,6210.0
28,27,6237.0
29,28,6214.0
30,29,6216.0
31,30,6224.0
32,31,6226.0
33,32,6236.0
34,-1,6238.0
3,2,6165.0
4,3,6162.0
5,4,6161.0
6,-1,6169.0
3,2,6153.0
4,3,6145.0
5,4,6146.0
6,-1,6197.0
3,-1,6220.0
3,-1,6153.0
3,2,6168.0
4,-1,6152.0
3,2,6162.0
4,3,6161.0
5,4,6152.0
6,5,6092.0
7,6,6093.0
8,7,6190.0
9,8,6189.0
10,9,6326.0
11,10,6220.0
12,-1,6157.0
3,2,6162.0
4,3,6158.0
5,-1,6158.0
3,2,6159.0
4,3,6155.0
5,-1,6106.0
3,2,6154.0
4,3,6152.0
5,-1,6204.0
3,-1,6154.0
3,2,6144.0
4,3,6144.0
5,4,6144.0
6,5,6143.0
7,6,6144.0
8,7,6144.0
9,8,6131.0
10,-1,6172.0
3,2,6164.0
4,-1,6191.0
3,2,6142.0
4,-1,6145.0
3,-1,6165.0
3,-1,6188.0
3,-1,6154.0
3,2,6105.0
4,-1,6132.0
3,2,6201.0
4,3,6265.0
5,-1,6146.0
3,2,6121.0
4,-1,6117.0
3,-1,6210.0
3,-1,6172.0
3,-1,6158.0
3,2,6163.0
4,-1,6171.0
