Total Line Failures,Steady State,Accumulation of Failed Capacities
5,-1,6121.0
5,-1,6096.0
5,-1,6081.0
5,2,6107.0
6,-1,6106.0
5,2,6139.0
6,3,6148.0
7,-1,6151.0
5,2,6107.0
6,3,6136.0
7,4,6107.0
8,5,6134.0
9,-1,6133.0
5,-1,6130.0
5,2,6041.0
6,3,6052.0
7,4,6068.0
8,5,6097.0
9,6,6137.0
10,7,6064.0
11,8,6095.0
12,9,6070.0
13,10,6049.0
14,11,6096.0
15,12,6077.0
16,13,6075.0
17,14,6077.0
18,15,6078.0
19,16,6104.0
20,17,6104.0
21,18,6108.0
22,19,6145.0
23,20,6146.0
24,21,6159.0
25,22,6159.0
26,23,6169.0
27,-1,6169.0
5,2,6146.0
6,3,6158.0
7,4,6151.0
8,5,6146.0
9,6,6131.0
10,7,6061.0
11,8,6000.0
12,9,6173.0
13,-1,6173.0
5,-1,6118.0
5,2,6104.0
6,3,6121.0
7,4,6119.0
8,5,6131.0
9,6,6129.0
10,7,6128.0
11,8,6215.0
12,9,6115.0
13,10,6077.0
14,11,6042.0
15,12,6087.0
16,13,6124.0
17,14,6118.0
18,15,6136.0
19,16,6118.0
20,17,6136.0
21,18,6130.0
22,19,6136.0
23,20,6135.0
24,21,6136.0
25,22,6136.0
26,23,6137.0
27,24,6177.0
28,25,6177.0
29,-1,6188.0
5,-1,6118.0
5,2,6110.0
6,3,6134.0
7,4,6136.0
8,5,6118.0
9,-1,6119.0
5,2,6106.0
6,3,6104.0
7,-1,6104.0
5,2,6111.0
6,3,6132.0
7,4,6143.0
8,5,6136.0
9,6,6125.0
10,7,6119.0
11,8,6053.0
12,9,5992.0
13,-1,6185.0
5,2,6147.0
6,3,6156.0
7,4,6123.0
8,5,6187.0
9,6,6139.0
10,7,6130.0
11,8,6150.0
12,9,6190.0
13,-1,6190.0
5,2,6121.0
6,3,6152.0
7,-1,6152.0
5,-1,6161.0
5,2,5997.0
6,3,6032.0
7,4,6029.0
8,5,6029.0
9,6,6058.0
10,7,6076.0
11,8,6060.0
12,9,6065.0
13,10,6070.0
14,11,6088.0
15,12,6121.0
16,13,5963.0
17,14,6045.0
18,15,6047.0
19,16,6024.0
20,17,6047.0
21,18,6051.0
22,19,6056.0
23,20,6051.0
24,21,6023.0
25,22,6047.0
26,23,6003.0
27,24,6019.0
28,25,6114.0
29,26,6117.0
30,27,6123.0
31,28,6121.0
32,29,6123.0
33,30,6124.0
34,31,6121.0
35,32,6132.0
